method,lib,skl_nb_base_estimators,N,dim,fit_intercept,onnx_options,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size,error
predict_proba,py,,10,100,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,3.608968108892441e-05,5.230400711297989e-05,3.6247074604034424e-05,4.508206620812416e-05,3.6903927102684975e-05,3.608968108892441e-05,4.094474054739791e-05,100,3.6542536690831184e-05,0,,,,
predict,skl,1.0,100,100,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,5.975598469376564e-05,0.00018095877021551132,6.046099588274956e-05,8.361181244254112e-05,6.501107942312956e-05,5.975598469376564e-05,8.955580001116813e-05,100,6.29904679954052e-05,0,,,,
predict,onxpython_compiled,,100,100,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,6.749620661139488e-05,0.0001074797473847866,6.801402196288109e-05,7.670000195503235e-05,6.997705437242984e-05,6.749620661139488e-05,7.80344541118271e-05,100,6.930599920451641e-05,0,2.0,12.0,1450.0,
predict,onxonnxruntime1,,100,100,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,6.048521026968956e-05,0.00011688005179166794,6.107799708843231e-05,6.892019882798195e-05,6.287659518420696e-05,6.048521026968956e-05,7.384674358438802e-05,100,6.221234798431396e-05,0,2.0,12.0,1450.0,
predict_proba,skl,1.0,100,100,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,8.394801989197731e-05,0.0001744898036122322,8.40253196656704e-05,9.765196591615677e-05,8.797076065093278e-05,8.394801989197731e-05,0.00010964093808824525,100,8.60230065882206e-05,0,,,,
predict_proba,onxpython_compiled,,100,100,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,6.666639819741249e-05,0.00010202731937170029,6.696721538901329e-05,7.589394226670265e-05,6.886915769428015e-05,6.666639819741249e-05,7.637651891713714e-05,100,6.812741048634052e-05,0,2.0,12.0,1450.0,
predict_proba,onxonnxruntime1,,100,100,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,5.797902122139931e-05,0.00010088225826621056,5.8560166507959366e-05,6.51269219815731e-05,6.024783942848444e-05,5.797902122139931e-05,6.873314654100061e-05,100,5.951942875981331e-05,0,2.0,12.0,1450.0,
predict,py,,100,100,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,1.4735851436853409e-05,3.0736904591321945e-05,1.5185214579105377e-05,1.867813989520073e-05,1.6909367404878138e-05,1.4735851436853409e-05,2.0107470006630877e-05,100,1.6835052520036697e-05,0,,,,
predict_proba,py,,100,100,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,4.4294167309999466e-05,7.019191980361938e-05,4.436774179339409e-05,5.010189488530159e-05,4.66166390106082e-05,4.4294167309999466e-05,5.1975582115275704e-05,100,4.613795317709446e-05,0,,,,
predict,skl,1.0,1000,100,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,0.00010025687515735626,0.00027926312759518623,0.00010098284110426903,0.00015013804659247398,0.00010902534238994122,0.00010025687515735626,0.00015249463897846452,100,0.00010306690819561481,1,,,,ERROR: Dim (1000 )-(1000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(2  'predict')'.
predict,onxpython_compiled,,1000,100,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,0.0002807113341987133,0.00034181028604507446,0.0002808910794556141,0.0002915789373219013,0.0002841857168823481,0.0002807113341987133,0.000296540476003131,100,0.0002830538433045149,1,2.0,12.0,1450.0,ERROR: Dim (1000 )-(1000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(2  'predict')'.
