method,lib,skl_nb_base_estimators,skl_dt_nodes,N,dim,max_depth,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size
predict,skl,1.0,321.0,10,5,10,10,1,5.4587144404649734e-05,0.00012455112300813198,5.594710819423199e-05,6.2617938965559e-05,6.514033302664756e-05,5.4587144404649734e-05,0.00010463189475009061,10,5.768146365880966e-05,0,,,
predict,onxpython,,,10,5,10,10,1,0.004449887201189995,0.013262975960969925,0.005991086130961776,0.011820840183645487,0.008357353275641799,0.004449887201189995,0.013262975960969925,10,0.007223057560622692,0,3.0,11.0,12966.0
predict,onxonnxruntime1,,,10,5,10,10,1,3.2695941627025604e-05,0.00010542105883359909,3.34419310092926e-05,3.442983143031597e-05,4.126150161027908e-05,3.2695941627025604e-05,8.331237539729018e-05,10,3.387650940567255e-05,0,3.0,11.0,12966.0
predict_proba,skl,1.0,321.0,10,5,10,10,1,7.340195588767529e-05,0.0001478490885347128,7.535587064921856e-05,8.169002830982208e-05,8.435288909822703e-05,7.340195588767529e-05,0.00012641829476953614,10,7.630442269146442e-05,0,,,
predict_proba,onxpython,,,10,5,10,10,1,0.005818762117996812,0.013313752831891179,0.006008693017065525,0.011795324040576816,0.009119829372502863,0.005818762117996812,0.013313752831891179,10,0.009314984432421625,0,3.0,11.0,12966.0
predict_proba,onxonnxruntime1,,,10,5,10,10,1,4.006014205515385e-05,0.00010917405597865582,4.0763989090919495e-05,4.281196743249893e-05,4.840660840272903e-05,4.006014205515385e-05,8.825943838929612e-05,10,4.107097629457712e-05,0,3.0,11.0,12966.0
predict,skl,1.0,321.0,100,5,10,10,1,6.077694706618786e-05,0.00013573886826634407,6.19350466877222e-05,6.678514182567596e-05,7.086058612912894e-05,6.077694706618786e-05,0.0001137513788420052,10,6.247847341001034e-05,0,,,
predict,onxpython,,,100,5,10,10,1,0.005880872951820493,0.011349332053214312,0.008850904880091548,0.009017327101901174,0.008369303680956364,0.005880872951820493,0.011349332053214312,10,0.008906495990231633,0,3.0,11.0,12966.0
predict,onxonnxruntime1,,,100,5,10,10,1,7.690000347793102e-05,0.00016127596609294415,7.735705003142357e-05,8.042203262448311e-05,8.736103773117065e-05,7.690000347793102e-05,0.00013599724148794385,10,7.819500751793385e-05,0,3.0,11.0,12966.0
predict_proba,skl,1.0,321.0,100,5,10,10,1,8.073006756603718e-05,0.00015840795822441578,8.297106251120567e-05,8.980697020888329e-05,9.239220526069403e-05,8.073006756603718e-05,0.00013618971120230378,10,8.407048881053925e-05,0,,,
predict_proba,onxpython,,,100,5,10,10,1,0.006216045003384352,0.013427669880911708,0.009113193023949862,0.009249781025573611,0.009160948661155998,0.006216045003384352,0.013375723133808299,10,0.009161297464743257,0,3.0,11.0,12966.0
predict_proba,onxonnxruntime1,,,100,5,10,10,1,0.0001203618012368679,0.00019873306155204773,0.00012134411372244358,0.00012855115346610546,0.00013131119776517154,0.0001203618012368679,0.00017605781629613233,10,0.00012241990771144629,0,3.0,11.0,12966.0
predict,skl,1.0,321.0,1000,5,10,10,1,0.00010202382691204548,0.00018580793403089046,0.00010470417328178883,0.00010861596092581749,0.00011372272856533528,0.00010202382691204548,0.00016132327147487546,10,0.00010486203245818615,0,,,
predict,onxpython,,,1000,5,10,10,1,0.0044862821232527494,0.012245209887623787,0.007492542965337634,0.009094250854104757,0.007971587963402272,0.0044862821232527494,0.012245209887623787,10,0.008955187979154289,0,3.0,11.0,12966.0
predict,onxonnxruntime1,,,1000,5,10,10,1,0.0004623031709343195,0.0006370618939399719,0.00046451808884739876,0.00047603086568415165,0.0004872828023508191,0.0004623031709343195,0.0005873970282476294,10,0.0004665445303544402,0,3.0,11.0,12966.0
predict_proba,skl,1.0,321.0,1000,5,10,10,1,0.00013984390534460545,0.0015997670125216246,0.00014264695346355438,0.00015147519297897816,0.00029744450002908704,0.00013984390534460545,0.001149463702959948,10,0.00014512497000396252,0,,,
predict_proba,onxpython,,,1000,5,10,10,1,0.008685528999194503,0.008905756054446101,0.00874227681197226,0.008881902089342475,0.008787771593779326,0.008685528999194503,0.008905756054446101,10,0.008758736541494727,0,3.0,11.0,12966.0
predict_proba,onxonnxruntime1,,,1000,5,10,10,1,0.000868302071467042,0.0009854089003056288,0.0008759710472077131,0.0008937569800764322,0.0008907532086595893,0.000868302071467042,0.0009552027022678007,10,0.0008796980837360024,0,3.0,11.0,12966.0
predict,skl,1.0,3091.0,1,5,20,10,1,5.4298900067806244e-05,0.00013381801545619965,5.7691941037774086e-05,6.580888293683529e-05,6.69779721647501e-05,5.4298900067806244e-05,0.00011134328748713473,10,5.875248461961746e-05,0,,,
predict,onxpython,,,1,5,20,10,1,0.0029272818937897682,0.01735217892564833,0.008882988011464477,0.010082675144076347,0.009169367677532136,0.0029272818937897682,0.017196398660003727,10,0.008890621946193278,0,3.0,11.0,121000.0
predict,onxonnxruntime1,,,1,5,20,10,1,2.9888004064559937e-05,0.0001063270028680563,3.0744122341275215e-05,3.216089680790901e-05,3.8969889283180235e-05,2.9888004064559937e-05,8.311508110355568e-05,10,3.097590524703264e-05,0,3.0,11.0,121000.0
predict_proba,skl,1.0,3091.0,1,5,20,10,1,7.120706140995026e-05,0.00014596502296626568,7.397797890007496e-05,8.162995800375938e-05,8.373360615223646e-05,7.120706140995026e-05,0.00012517660882193065,10,7.69405160099268e-05,0,,,
predict_proba,onxpython,,,1,5,20,10,1,0.002817765111103654,0.013582151150330901,0.0029908991418778896,0.007309377891942859,0.0053496124455705285,0.002817765111103654,0.011722694351324513,10,0.003736707498319447,0,3.0,11.0,121000.0
predict_proba,onxonnxruntime1,,,1,5,20,10,1,3.323797136545181e-05,9.736698120832443e-05,3.3593038097023964e-05,3.7496909499168396e-05,4.1411863639950754e-05,3.323797136545181e-05,7.830341823142769e-05,10,3.417243715375662e-05,0,3.0,11.0,121000.0
predict,skl,1.0,3091.0,10,5,20,10,1,5.5202050134539604e-05,0.00012923800386488438,5.785515531897545e-05,6.282702088356018e-05,6.660802755504846e-05,5.5202050134539604e-05,0.00010797753914517904,10,5.922350101172924e-05,0,,,
