method,lib,skl_nb_base_estimators,skl_dt_nodes,N,dim,max_depth,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size
predict,onxonnxruntime1,,,1,50,10,10,1,2.3286789655685425e-05,7.331208325922489e-05,2.380507066845894e-05,2.508191391825676e-05,2.9354449361562728e-05,2.3286789655685425e-05,5.8197261317553275e-05,10,2.3996923118829727e-05,0,1.0,11.0,79916.0
predict,skl,1.0,2043.0,10,50,10,10,1,4.92180697619915e-05,6.767408922314644e-05,5.064718425273895e-05,5.349889397621155e-05,5.331335123628378e-05,4.92180697619915e-05,6.344237786015155e-05,10,5.117850378155708e-05,0,,,
predict,onxpython,,,10,50,10,10,1,1.9126804545521736e-05,6.795814260840416e-05,1.951702870428562e-05,2.0970124751329422e-05,2.493681386113167e-05,1.9126804545521736e-05,5.3123158835133725e-05,10,1.9960105419158936e-05,0,1.0,11.0,79916.0
predict,onxonnxruntime1,,,10,50,10,10,1,2.870708703994751e-05,4.295189864933491e-05,2.957903780043125e-05,3.086705692112446e-05,3.1407317146658896e-05,2.870708703994751e-05,3.945313155968912e-05,10,2.9657501727342606e-05,0,1.0,11.0,79916.0
predict,skl,1.0,2043.0,100,50,10,10,1,6.202282384037971e-05,8.174986578524113e-05,6.266613490879536e-05,6.674719043076038e-05,6.596227176487446e-05,6.202282384037971e-05,7.727672346376616e-05,10,6.335345096886158e-05,0,,,
predict,onxpython,,,100,50,10,10,1,2.7493108063936234e-05,7.71631021052599e-05,2.861209213733673e-05,3.083306364715099e-05,3.4119165502488616e-05,2.7493108063936234e-05,6.241378884078108e-05,10,2.903747372329235e-05,0,1.0,11.0,79916.0
predict,onxonnxruntime1,,,100,50,10,10,1,6.10679853707552e-05,7.616286166012287e-05,6.189593113958836e-05,6.426312029361725e-05,6.399168632924557e-05,6.10679853707552e-05,7.259460505264491e-05,10,6.203993689268827e-05,0,1.0,11.0,79916.0
predict,skl,1.0,2043.0,1000,50,10,10,1,0.00016778497956693172,0.000244711060076952,0.0001710390206426382,0.0001774858683347702,0.00017985641025006772,0.00016778497956693172,0.00022266167450089584,10,0.0001732225064188242,0,,,
predict,onxpython,,,1000,50,10,10,1,8.557084947824478e-05,0.00017859693616628647,8.785095997154713e-05,9.122001938521862e-05,9.805560111999511e-05,8.557084947824478e-05,0.00015097660078920692,10,8.880812674760818e-05,0,1.0,11.0,79916.0
predict,onxonnxruntime1,,,1000,50,10,10,1,0.0003233780153095722,0.0004748459905385971,0.00032643997110426426,0.0003511859104037285,0.00034934110008180144,0.0003233780153095722,0.0004348186015068601,10,0.00032913603354245424,0,1.0,11.0,79916.0
predict,skl,1.0,154109.0,1,50,20,10,1,4.908605478703976e-05,0.00012918701395392418,5.156500265002251e-05,6.618304178118706e-05,6.655985489487649e-05,4.908605478703976e-05,0.00011895660517019536,10,5.305057857185602e-05,0,,,
predict,onxpython,,,1,50,20,10,1,1.9269995391368866e-05,8.892104960978031e-05,1.9638100638985634e-05,2.153683453798294e-05,2.7336389757692813e-05,1.9269995391368866e-05,6.7692721615738e-05,10,2.001691609621048e-05,0,1.0,11.0,6354827.0
predict,onxonnxruntime1,,,1,50,20,10,1,2.5938032194972038e-05,7.886998355388641e-05,2.646702341735363e-05,2.89171002805233e-05,3.278462681919336e-05,2.5938032194972038e-05,6.324259668686761e-05,10,2.670555841177702e-05,0,1.0,11.0,6354827.0
predict,skl,1.0,154109.0,10,50,20,10,1,5.325581878423691e-05,7.596798241138458e-05,5.557783879339695e-05,6.060604937374592e-05,5.8887177146971226e-05,5.325581878423691e-05,7.159363963674169e-05,10,5.666445940732956e-05,0,,,
predict,onxpython,,,10,50,20,10,1,2.2727996110916138e-05,7.002311758697033e-05,2.315291203558445e-05,2.5596003979444504e-05,2.868201117962599e-05,2.2727996110916138e-05,5.584137347419914e-05,10,2.3818458430469036e-05,0,1.0,11.0,6354827.0
predict,onxonnxruntime1,,,10,50,20,10,1,4.198378883302212e-05,6.207404658198357e-05,4.345388151705265e-05,4.666810855269432e-05,4.6611297875642776e-05,4.198378883302212e-05,5.7817935095212565e-05,10,4.4950516894459724e-05,0,1.0,11.0,6354827.0
predict,skl,1.0,154109.0,100,50,20,10,1,9.443494491279125e-05,0.0001259420532733202,9.855418466031551e-05,0.00010428996756672859,0.00010287798941135406,9.443494491279125e-05,0.00012022630318096712,10,9.892089292407036e-05,0,,,
predict,onxpython,,,100,50,20,10,1,5.193892866373062e-05,0.0001051959116011858,5.309213884174824e-05,6.014388054609299e-05,6.060351151973009e-05,5.193892866373062e-05,9.08123640661755e-05,10,5.42135676369071e-05,0,1.0,11.0,6354827.0
predict,onxonnxruntime1,,,100,50,20,10,1,0.0001556898932904005,0.00019898894242942333,0.00016719195991754532,0.00018077204003930092,0.0001730585005134344,0.0001556898932904005,0.00019888430597467726,10,0.00017465045675635338,0,1.0,11.0,6354827.0
predict,skl,1.0,154109.0,1000,50,20,10,1,0.0004014810547232628,0.0006011941004544497,0.00042626215144991875,0.00048370310105383396,0.0004590059630572796,0.0004014810547232628,0.0005686201892618605,10,0.0004424435319378972,0,,,
predict,onxpython,,,1000,50,20,10,1,0.00023890403099358082,0.00044327392242848873,0.0002719131298363209,0.00031044287607073784,0.0003005721839144826,0.00023890403099358082,0.00040975221649539907,10,0.00029020244255661964,0,1.0,11.0,6354827.0
predict,onxonnxruntime1,,,1000,50,20,10,1,0.000968283973634243,0.0015159030444920063,0.00098803685978055,0.0010566108394414186,0.0010719539830461144,0.000968283973634243,0.0013834920820155149,10,0.0010087714763358235,0,1.0,11.0,6354827.0
predict,skl,1.0,15.0,1,100,3,10,1,4.717404954135418e-05,0.00032062106765806675,4.9615977331995964e-05,0.00014714617282152176,0.00011193666141480207,4.717404954135418e-05,0.0002881868458096733,10,5.30885299667716e-05,0,,,
predict,onxpython,,,1,100,3,10,1,1.693982630968094e-05,9.308196604251862e-05,1.7312122508883476e-05,1.841713674366474e-05,2.5368528440594673e-05,1.693982630968094e-05,6.965474862421212e-05,10,1.742551103234291e-05,0,1.0,11.0,1089.0
predict,onxonnxruntime1,,,1,100,3,10,1,2.3537082597613335e-05,8.214008994400501e-05,2.3853033781051636e-05,2.488703466951847e-05,3.021720331162214e-05,2.3537082597613335e-05,6.422411620931646e-05,10,2.414837945252657e-05,0,1.0,11.0,1089.0
predict,skl,1.0,15.0,10,100,3,10,1,4.762597382068634e-05,0.00010422291234135628,4.8595014959573746e-05,5.146698094904423e-05,5.5101606994867326e-05,4.762597382068634e-05,8.748774475221188e-05,10,4.875159356743097e-05,0,,,
predict,onxpython,,,10,100,3,10,1,1.835799776017666e-05,6.435299292206764e-05,1.8831109628081322e-05,1.9795028492808342e-05,2.370704896748066e-05,1.835799776017666e-05,5.032002267814469e-05,10,1.8977560102939606e-05,0,1.0,11.0,1089.0
predict,onxonnxruntime1,,,10,100,3,10,1,2.6772962883114815e-05,4.0999846532940865e-05,2.7229078114032745e-05,2.857297658920288e-05,2.9047182761132716e-05,2.6772962883114815e-05,3.7174163794966746e-05,10,2.7325935661792755e-05,0,1.0,11.0,1089.0
predict,skl,1.0,15.0,100,100,3,10,1,5.596294067800045e-05,7.45910219848156e-05,5.736202001571655e-05,6.0488004237413406e-05,5.9876823797822e-05,5.596294067800045e-05,7.038481278910079e-05,10,5.7733035646378994e-05,0,,,
predict,onxpython,,,100,100,3,10,1,2.6234891265630722e-05,7.127085700631142e-05,2.6854919269680977e-05,2.8248876333236694e-05,3.1745107844471934e-05,2.6234891265630722e-05,5.765655045990031e-05,10,2.710998523980379e-05,0,1.0,11.0,1089.0
