N,alphas,count,dim,fit_priors,lib,lower,max,max3,mean,median,method,min,min3,ort_nodes,ort_size,repeat,skl_nb_nase_estimators,upper
1,0.0,100,50,True,skl,5.403999239206314e-05,0.00011810602154582739,8.028896991163492e-05,5.7538977125659584e-05,5.459255771711469e-05,predict,5.403999239206314e-05,5.4172007367014885e-05,,,100,1.0,7.377916361027279e-05
1,0.0,100,50,True,ort,3.6245095543563366e-05,0.0001021090429276228,4.501803778111935e-05,3.856834024190903e-05,3.7667457945644855e-05,predict,3.6245095543563366e-05,3.636907786130905e-05,13.0,1873.0,100,,5.152513364523785e-05
1,0.0,100,50,True,skl,0.00010926392860710621,0.0001582680270075798,0.00015086401253938675,0.0001148111023940146,0.00011043157428503036,predict_proba,0.00010926392860710621,0.00010941200889647007,,,100,1.0,0.0001338097988883319
1,0.0,100,50,True,ort,3.749702591449022e-05,5.8560981415212154e-05,5.3014024160802364e-05,3.9279431803151965e-05,3.7913036067038774e-05,predict_proba,3.749702591449022e-05,3.764498978853226e-05,13.0,1873.0,100,,4.6880980018496244e-05
10,0.0,100,50,True,skl,5.6737917475402355e-05,8.254800923168659e-05,6.717804353684187e-05,5.871242028661072e-05,5.722598871216178e-05,predict,5.6737917475402355e-05,5.6863995268940926e-05,,,100,1.0,6.715678972254531e-05
10,0.0,100,50,True,ort,4.129903391003609e-05,7.629801984876394e-05,5.148700438439846e-05,4.312274162657559e-05,4.1691993828862906e-05,predict,4.129903391003609e-05,4.140101373195648e-05,13.0,1873.0,100,,5.187347847741765e-05
10,0.0,100,50,True,skl,0.00011470995377749205,0.0001454720040783286,0.00013887998647987843,0.00011927860789000987,0.0001157444785349071,predict_proba,0.00011470995377749205,0.00011491298209875822,,,100,1.0,0.00013300403146900483
10,0.0,100,50,True,ort,4.7983950935304165e-05,7.610605098307133e-05,6.543099880218506e-05,4.9969169776886704e-05,4.8364512622356415e-05,predict_proba,4.7983950935304165e-05,4.80839516967535e-05,13.0,1873.0,100,,5.8796655767308115e-05
1,0.0,100,50,False,skl,5.41729386895895e-05,0.00010729802306741476,7.307797204703093e-05,5.6759545113891366e-05,5.459802923724055e-05,predict,5.41729386895895e-05,5.424104165285826e-05,,,100,1.0,7.095116197789062e-05
1,0.0,100,50,False,ort,3.611389547586441e-05,8.907506708055735e-05,5.143205635249615e-05,3.7941555492579935e-05,3.653392195701599e-05,predict,3.611389547586441e-05,3.6254990845918655e-05,13.0,1873.0,100,,4.967160408343783e-05
1,0.0,100,50,False,skl,0.00010832201223820448,0.0001700889552012086,0.00013179401867091656,0.00011343667400069535,0.00010964053217321634,predict_proba,0.00010832201223820448,0.00010875996667891741,,,100,1.0,0.00013065576909028484
1,0.0,100,50,False,ort,3.768899478018284e-05,5.5541982874274254e-05,4.982203245162964e-05,3.9093566592782735e-05,3.808503970503807e-05,predict_proba,3.768899478018284e-05,3.777898382395506e-05,13.0,1873.0,100,,4.5435311736906526e-05
10,0.0,100,50,False,skl,5.678797606378794e-05,8.951895870268345e-05,7.451605051755905e-05,5.905714118853211e-05,5.715654697269201e-05,predict,5.678797606378794e-05,5.6887976825237274e-05,,,100,1.0,6.890813285683831e-05
10,0.0,100,50,False,ort,4.1313935071229935e-05,6.750295870006084e-05,5.176302511245012e-05,4.284274997189641e-05,4.167447332292795e-05,predict,4.1313935071229935e-05,4.1396007873117924e-05,13.0,1873.0,100,,4.9877747032553435e-05
10,0.0,100,50,False,skl,0.00011502194683998823,0.0001633629435673356,0.00013895297888666391,0.00011958284885622561,0.000115849485155195,predict_proba,0.00011502194683998823,0.00011515896767377853,,,100,1.0,0.00013541811644831057
10,0.0,100,50,False,ort,4.804995842278004e-05,6.772903725504875e-05,6.506405770778656e-05,4.9815474776551126e-05,4.840752808377147e-05,predict_proba,4.804995842278004e-05,4.8097921535372734e-05,13.0,1873.0,100,,5.73682759062042e-05
