method,lib,skl_nb_base_estimators,N,dim,max_depth,n_estimators,onnx_options,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size
predict,onxonnxruntime1,,10000,20,5,1,,10,1,0.050042507238686085,0.05095897614955902,0.05010257847607136,0.05015461891889572,0.050197189766913654,0.050042507238686085,0.050700260521432415,10,0.0501134037040174,0,1.0,12.0,230780.0
predict,skl,2.0,1,20,5,10,,10,1,0.00011016800999641418,0.00023386720567941666,0.00011336430907249451,0.00012793578207492828,0.00013016341254115104,0.00011016800999641418,0.0001991390119869708,10,0.00011862395331263542,0,,,
predict,onxpython_compiled,,1,20,5,10,,10,1,1.4795921742916107e-05,8.651148527860641e-05,1.5236437320709229e-05,1.8283724784851074e-05,2.3714452981948853e-05,1.4795921742916107e-05,6.492187172946967e-05,10,1.6594305634498596e-05,0,1.0,12.0,230780.0
predict,onxonnxruntime1,,1,20,5,10,,10,1,3.5861507058143616e-05,8.354987949132919e-05,3.686640411615372e-05,3.95067036151886e-05,4.245145246386528e-05,3.5861507058143616e-05,6.958937615981872e-05,10,3.7322286516427994e-05,0,1.0,12.0,230780.0
predict,skl,2.0,10,20,5,10,,10,1,0.0001430874690413475,0.00017469748854637146,0.00014459248632192612,0.00014943629503250122,0.00014961594715714454,0.0001430874690413475,0.00016745317276995657,10,0.00014663953334093094,0,,,
predict,onxpython_compiled,,10,20,5,10,,10,1,5.993060767650604e-05,8.91704112291336e-05,6.299186497926712e-05,7.072277367115021e-05,6.760675460100174e-05,5.993060767650604e-05,8.402571504374754e-05,10,6.389431655406952e-05,0,1.0,12.0,230780.0
predict,onxonnxruntime1,,10,20,5,10,,10,1,8.034519851207733e-05,0.00010061636567115784,8.239131420850754e-05,8.627399802207947e-05,8.505433797836303e-05,8.034519851207733e-05,9.612562589075386e-05,10,8.267583325505257e-05,0,1.0,12.0,230780.0
predict,skl,2.0,100,20,5,10,,10,1,0.00042856670916080475,0.00047597941011190414,0.00043003447353839874,0.00043996237218379974,0.00043655317276716234,0.00042856670916080475,0.00046359995800156857,10,0.0004300852306187153,0,,,
predict,onxpython_compiled,,100,20,5,10,,10,1,0.0001437608152627945,0.0002025580033659935,0.00014437083154916763,0.00015467125922441483,0.00015329476445913315,0.0001437608152627945,0.0001869797520702522,10,0.00014480575919151306,0,1.0,12.0,230780.0
predict,onxonnxruntime1,,100,20,5,10,,10,1,0.0005337698385119438,0.000594153068959713,0.0005360385403037071,0.0005500027909874916,0.0005471676588058472,0.0005337698385119438,0.0005863644779275038,10,0.0005367682315409184,0,1.0,12.0,230780.0
predict,skl,2.0,1000,20,5,10,,10,1,0.00302143394947052,0.003146708942949772,0.0030304808169603348,0.0030445707961916924,0.003047669120132923,0.00302143394947052,0.0031146327384733363,10,0.003039747476577759,0,,,
predict,onxpython_compiled,,1000,20,5,10,,10,1,0.0012701861560344696,0.0013406313955783844,0.00127369724214077,0.0012768572196364403,0.0012809169478714467,0.0012701861560344696,0.0013202780763464572,10,0.001275364775210619,0,1.0,12.0,230780.0
predict,onxonnxruntime1,,1000,20,5,10,,10,1,0.0050416309386491776,0.00525507889688015,0.005047065205872059,0.005059408955276012,0.005071289930492639,0.0050416309386491776,0.00519223704243181,10,0.005051889456808567,0,1.0,12.0,230780.0
predict,skl,2.0,10000,20,5,10,,10,1,0.027697168290615082,0.028026520274579525,0.027730418369174004,0.027786963619291782,0.027773892786353827,0.027697168290615082,0.02794891589414966,10,0.027744275983422995,0,,,
predict,onxpython_compiled,,10000,20,5,10,,10,1,0.012859934940934181,0.012968722730875015,0.012871040031313896,0.012882545590400696,0.012883775401860476,0.012859934940934181,0.012942258437550947,10,0.012874639127403498,0,1.0,12.0,230780.0
predict,onxonnxruntime1,,10000,20,5,10,,10,1,0.05009872280061245,0.05117318406701088,0.050139530561864376,0.05021267291158438,0.05026141004636884,0.05009872280061245,0.05086187294093328,10,0.05016210442408919,0,1.0,12.0,230780.0
predict,skl,2.0,1,20,5,100,,10,1,0.00010872911661863327,0.00023322273045778275,0.00011228490620851517,0.00012355204671621323,0.00012776460498571397,0.00010872911661863327,0.0001976076587499524,10,0.00011513661593198776,0,,,
predict,onxpython_compiled,,1,20,5,100,,10,1,1.4904886484146118e-05,8.397363126277924e-05,1.5904195606708527e-05,1.8526799976825714e-05,2.3497361689805983e-05,1.4904886484146118e-05,6.314992466629411e-05,10,1.6332603991031647e-05,0,1.0,12.0,230707.0
predict,onxonnxruntime1,,1,20,5,100,,10,1,3.687664866447449e-05,8.200854063034058e-05,3.7301331758499146e-05,3.8975849747657776e-05,4.2446237057447436e-05,3.687664866447449e-05,6.84361574882849e-05,10,3.7532299757003784e-05,0,1.0,12.0,230707.0
predict,skl,2.0,10,20,5,100,,10,1,0.00014343298971652985,0.0001748558133840561,0.00014529656618833542,0.00015180464833974838,0.0001502632163465023,0.00014343298971652985,0.00016799591538608935,10,0.00014615105465054512,0,,,
predict,onxpython_compiled,,10,20,5,100,,10,1,6.113201379776001e-05,8.906982839107513e-05,6.254017353057861e-05,6.807968020439148e-05,6.70318491756916e-05,6.113201379776001e-05,8.325195070429448e-05,10,6.324891000986099e-05,0,1.0,12.0,230707.0
predict,onxonnxruntime1,,10,20,5,100,,10,1,8.847098797559738e-05,0.00010500103235244751,8.884444832801819e-05,9.346194565296173e-05,9.21076163649559e-05,8.847098797559738e-05,0.00010176411821924148,10,8.991453796625137e-05,0,1.0,12.0,230707.0
predict,skl,2.0,100,20,5,100,,10,1,0.0004280349239706993,0.0004789121448993683,0.0004308735951781273,0.0004372159019112587,0.00043751252815127373,0.0004280349239706993,0.0004656126157407744,10,0.0004324028268456459,0,,,
predict,onxpython_compiled,,100,20,5,100,,10,1,0.00014412309974431992,0.00019937101751565933,0.00014473311603069305,0.00014815479516983032,0.00015128329396247865,0.00014412309974431992,0.00018284754323855294,10,0.00014586839824914932,0,1.0,12.0,230707.0
