method,lib,skl_nb_base_estimators,N,dim,max_depth,n_estimators,onnx_options,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size,error
predict,onxpython_compiled,,100,10,2,10,,10,1,0.004519456997513771,0.011785465758293867,0.008722224272787571,0.008881062734872103,0.00839770222082734,0.004519456997513771,0.011785465758293867,10,0.008774568093940616,0,1.0,12.0,26377.0,
predict,onxonnxruntime1,,100,10,2,10,,10,1,0.0002563600428402424,0.004468027036637068,0.0002570701763033867,0.00026029394939541817,0.0006799929309636354,0.0002563600428402424,0.0031548552127257453,10,0.00025772303342819214,0,1.0,12.0,26377.0,
predict,skl,2.0,1000,10,2,10,,10,1,0.002478914801031351,0.002576296217739582,0.002497337758541107,0.0025055990554392338,0.0025053546763956548,0.002478914801031351,0.0025545115782886537,10,0.002499766880646348,0,,,,
predict,onxpython_compiled,,1000,10,2,10,,10,1,0.0038796337321400642,0.013456618878990412,0.010540126822888851,0.010729947127401829,0.009789072163403034,0.00419321130431533,0.013456618878990412,10,0.010623208014294505,0,1.0,12.0,26377.0,
predict,onxonnxruntime1,,1000,10,2,10,,10,1,0.002173412125557661,0.0023038326762616634,0.002179584000259638,0.0022394638508558273,0.0022097405511885882,0.002173412125557661,0.0022912869548962806,10,0.002183760516345501,0,1.0,12.0,26377.0,
predict,skl,2.0,10000,10,2,10,,10,1,0.007900376804172993,0.008143479935824871,0.007936171721667051,0.007986616808921099,0.007966012880206107,0.007900376804172993,0.00809543734624625,10,0.007948741549625993,0,,,,
predict,onxpython_compiled,,10000,10,2,10,,10,1,0.005025047808885574,0.020573592744767666,0.012632283847779036,0.020462065003812313,0.014375470764935016,0.005025047808885574,0.020573592744767666,10,0.014867978636175394,0,1.0,12.0,26377.0,
predict,onxonnxruntime1,,10000,10,2,10,,10,1,0.021548675373196602,0.022101077251136303,0.02155404072254896,0.02157720737159252,0.021615919284522535,0.021548675373196602,0.021933802771580694,10,0.0215589904692024,0,1.0,12.0,26377.0,
predict,skl,2.0,1,10,2,100,,10,1,0.001970816869288683,0.002074024174362421,0.0019847997464239597,0.0019973167218267918,0.002001442899927497,0.001970816869288683,0.0020656302329428323,10,0.0019869885873049498,0,,,,
predict,onxpython_compiled,,1,10,2,100,,10,1,1.1718366295099258e-05,3.7901103496551514e-05,1.195492222905159e-05,1.3260170817375183e-05,1.5004724264144898e-05,1.1718366295099258e-05,3.006008608246377e-05,10,1.2209638953208923e-05,0,1.0,12.0,26377.0,
predict,onxonnxruntime1,,1,10,2,100,,10,1,2.6976224035024643e-05,6.611412391066551e-05,2.7277972549200058e-05,2.9129907488822937e-05,3.189714625477791e-05,2.6976224035024643e-05,5.4421283095998046e-05,10,2.7614645659923553e-05,0,1.0,12.0,26377.0,
predict,skl,2.0,10,10,2,100,,10,1,0.0017241602763533592,0.0017742482014000416,0.0017285062931478024,0.0017552729696035385,0.001739529985934496,0.0017241602763533592,0.0017720654432356775,10,0.001731113763526082,0,,,,
predict,onxpython_compiled,,10,10,2,100,,10,1,3.0242837965488434e-05,4.0350016206502914e-05,3.078905865550041e-05,3.193877637386322e-05,3.2037915661931035e-05,3.0242837965488434e-05,3.7665918214247244e-05,10,3.0965544283390045e-05,0,1.0,12.0,26377.0,
predict,onxonnxruntime1,,10,10,2,100,,10,1,4.8037152737379074e-05,6.322097033262253e-05,4.909094423055649e-05,5.051214247941971e-05,5.090148188173771e-05,4.8037152737379074e-05,5.932268429299183e-05,10,4.9236929044127464e-05,0,1.0,12.0,26377.0,
predict,skl,2.0,100,10,2,100,,10,1,0.0017862888053059578,0.0018324772827327251,0.0017926888540387154,0.0018119481392204762,0.0018013577442616223,0.0017862888053059578,0.0018286527260038777,10,0.0017951731570065022,0,,,,
predict,onxpython_compiled,,100,10,2,100,,10,1,0.0045698536559939384,0.01171491714194417,0.008614103309810162,0.008950481191277504,0.008379289228469134,0.0045698536559939384,0.01171491714194417,10,0.008775727124884725,0,1.0,12.0,26377.0,
predict,onxonnxruntime1,,100,10,2,100,,10,1,0.00025388598442077637,0.00026933709159493446,0.0002553258091211319,0.00025775888934731483,0.0002574124839156866,0.00025388598442077637,0.0002663385409399803,10,0.0002555216196924448,0,1.0,12.0,26377.0,
predict,skl,2.0,1000,10,2,100,,10,1,0.0024697603657841682,0.0025358758866786957,0.002480697352439165,0.0025092861615121365,0.002493089018389583,0.0024697603657841682,0.002531731489411686,10,0.0024883029982447624,0,,,,
predict,onxpython_compiled,,1000,10,2,100,,10,1,0.0016033230349421501,0.014822355937212706,0.009922207798808813,0.010683658998459578,0.00960641079582274,0.0026750707490343275,0.014822355937212706,10,0.010603634640574455,0,1.0,12.0,26377.0,
predict,onxonnxruntime1,,1000,10,2,100,,10,1,0.002168848179280758,0.0023018838837742805,0.0021803551353514194,0.0022401227615773678,0.002218799199908972,0.002168848179280758,0.0022993767387599214,10,0.0022336614783853292,0,1.0,12.0,26377.0,
predict,skl,2.0,10000,10,2,100,,10,1,0.007884869817644358,0.008164492901414633,0.007946372032165527,0.007976651191711426,0.007971284631639718,0.007884869817644358,0.00811025694172453,10,0.007954772096127272,0,,,,
predict,onxpython_compiled,,10000,10,2,100,,10,1,0.0049870628863573074,0.029600672889500856,0.005004968959838152,0.02203316241502762,0.013306125067174435,0.0049870628863573074,0.029600672889500856,10,0.008830562932416797,0,1.0,12.0,26377.0,
predict,onxonnxruntime1,,10000,10,2,100,,10,1,0.021454536821693182,0.022100831847637892,0.021467912010848522,0.021480931900441647,0.02153729968704283,0.021454536821693182,0.02190778265859837,10,0.02147110877558589,0,1.0,12.0,26377.0,
predict,skl,2.0,1,10,5,1,,10,1,0.0019727549515664577,0.0021872608922421932,0.001982786227017641,0.00200381176546216,0.002009037369862199,0.0019727549515664577,0.002127572015464026,10,0.001994160935282707,0,,,,
predict,onxpython_compiled,,1,10,5,1,,10,1,1.3668090105056763e-05,5.029793828725815e-05,1.4460179954767227e-05,1.8689315766096115e-05,1.9381335005164146e-05,1.3668090105056763e-05,4.0006044749755574e-05,10,1.548253931105137e-05,0,1.0,12.0,224940.0,
predict,onxonnxruntime1,,1,10,5,1,,10,1,3.408361226320267e-05,7.594283670186996e-05,3.426987677812576e-05,3.539491444826126e-05,3.911023959517479e-05,3.408361226320267e-05,6.334699934986161e-05,10,3.440701402723789e-05,0,1.0,12.0,224940.0,
predict,skl,2.0,10,10,5,1,,10,1,0.0017001871019601822,0.0017376439645886421,0.001706369686871767,0.0017250096425414085,0.0017156383022665978,0.0017001871019601822,0.0017376439645886421,10,0.001713813515380025,0,,,,
predict,onxpython_compiled,,10,10,5,1,,10,1,6.380211561918259e-05,8.8556669652462e-05,6.541842594742775e-05,6.818585097789764e-05,6.86297658830881e-05,6.380211561918259e-05,8.26287811075141e-05,10,6.561796180903912e-05,0,1.0,12.0,224940.0,
predict,onxonnxruntime1,,10,10,5,1,,10,1,8.894596248865128e-05,0.0001069377176463604,9.050872176885605e-05,9.263074025511742e-05,9.293798357248306e-05,8.894596248865128e-05,0.00010280335863233201,10,9.121932089328766e-05,0,1.0,12.0,224940.0,
predict,skl,2.0,100,10,5,1,,10,1,0.0018248860724270344,0.0018876059912145138,0.0018415218219161034,0.0018563601188361645,0.0018471863120794296,0.0018248860724270344,0.0018801930080624989,10,0.0018433209042996168,0,,,,
predict,onxpython_compiled,,100,10,5,1,,10,1,0.0001355060376226902,0.0001567038707435131,0.0001380746252834797,0.00014215800911188126,0.0001405221875756979,0.0001355060376226902,0.00015190123640429164,10,0.00013862759806215763,0,1.0,12.0,224940.0,
predict,onxonnxruntime1,,100,10,5,1,,10,1,0.0006033224053680897,0.0006515020504593849,0.0006142808124423027,0.0006169527769088745,0.0006180508993566036,0.0006033224053680897,0.0006417142533501726,10,0.0006151041015982628,0,1.0,12.0,224940.0,
predict,skl,2.0,1000,10,5,1,,10,1,0.003030919935554266,0.0031056920997798443,0.003048983868211508,0.003069352824240923,0.003058748506009579,0.003030919935554266,0.0030973984115594765,10,0.0030532251112163067,1,,,,ERROR: Dim (1000 )-(1000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(4  'predict')'.
predict,onxpython_compiled,,1000,10,5,1,,10,1,0.0011937813833355904,0.014706030022352934,0.0011972510255873203,0.0012250496074557304,0.003257127525284886,0.0011937813833355904,0.011798750460231829,10,0.0011989360209554434,1,1.0,12.0,224940.0,ERROR: Dim (1000 )-(1000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(4  'predict')'.
predict,onxonnxruntime1,,1000,10,5,1,,10,1,0.005795042030513287,0.008789887186139822,0.005813580937683582,0.005826673936098814,0.006117591634392738,0.005795042030513287,0.00786399512388367,10,0.005814742995426059,1,1.0,12.0,224940.0,ERROR: Dim (1000 )-(1000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(4  'predict')'.
predict,skl,2.0,10000,10,5,1,,10,1,0.012886907905340195,0.015501940157264471,0.012935413047671318,0.013155567925423384,0.013274396816268564,0.012886907905340195,0.01475325157429254,10,0.012972136959433556,1,,,,ERROR: Dim (10000 )-(10000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(8  'predict')'.
predict,onxpython_compiled,,10000,10,5,1,,10,1,0.011768319178372622,0.05562692368403077,0.01178451906889677,0.014928404707461596,0.019765631202608346,0.011768319178372622,0.04993940532439559,10,0.011800687061622739,1,1.0,12.0,224940.0,ERROR: Dim (10000 )-(10000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(8  'predict')'.
predict,onxonnxruntime1,,10000,10,5,1,,10,1,0.05421650130301714,0.055204601027071476,0.05428637936711311,0.0543337082490325,0.05440314933657646,0.05421650130301714,0.054952921599003224,10,0.05429333890788257,1,1.0,12.0,224940.0,ERROR: Dim (10000 )-(10000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(8  'predict')'.
predict,skl,2.0,1,10,5,10,,10,1,0.001958047039806843,0.0021852198988199234,0.001976309809833765,0.001994140911847353,0.002000897191464901,0.001958047039806843,0.0021238029308512573,10,0.001985630951821804,0,,,,
predict,onxpython_compiled,,1,10,5,10,,10,1,1.3630837202072144e-05,5.413312464952469e-05,1.4280900359153748e-05,1.7283950001001358e-05,1.9102916121482848e-05,1.3630837202072144e-05,4.223554921171683e-05,10,1.4696968719363213e-05,0,1.0,12.0,223699.0,
predict,onxonnxruntime1,,1,10,5,10,,10,1,3.375392407178879e-05,8.084019646048546e-05,3.4156255424022675e-05,3.788480535149574e-05,4.0011852979660036e-05,3.375392407178879e-05,6.70303664518213e-05,10,3.4558121114969254e-05,0,1.0,12.0,223699.0,
predict,skl,2.0,10,10,5,10,,10,1,0.0016996809281408787,0.001753808930516243,0.0017125601880252361,0.001726555172353983,0.0017201612237840891,0.0016996809281408787,0.001747262516848575,10,0.0017184962052851915,0,,,,
predict,onxpython_compiled,,10,10,5,10,,10,1,6.086379289627075e-05,8.983118459582329e-05,6.413087248802185e-05,7.166201248764992e-05,6.835139356553555e-05,6.086379289627075e-05,8.406918775330676e-05,10,6.540678441524506e-05,0,1.0,12.0,223699.0,
predict,onxonnxruntime1,,10,10,5,10,,10,1,8.975062519311905e-05,0.00011157803237438202,9.073503315448761e-05,9.523425251245499e-05,9.429114870727063e-05,8.975062519311905e-05,0.00010660921414564979,10,9.163795039057732e-05,0,1.0,12.0,223699.0,
predict,skl,2.0,100,10,5,10,,10,1,0.0018376479856669903,0.0019091088324785233,0.001851900015026331,0.0018735597841441631,0.0018639946822077036,0.0018376479856669903,0.0019023206092711874,10,0.0018609019462019205,0,,,,
