_model,onnxrt_time,onnxrt_std,input_size,original_time,original_std,nb_estimators,nb_onnx_nodes,_tested,onnxruntime,numpy-version,onnx-version,onnxruntime-version,stderr,ratio,ratio_nodes,CPU,CPUI
SklearnBinSVCLinearPT,1.9658684730529784e-05,8.364951186608303e-07,124.0,5.487853870727122e-05,1.1377957793340107e-06,1,3,True,True,1.17.4,1.6.34,1.0.991,,0.35822172371228017,3.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBinVotingClassifierHard,7.656903774477541e-05,0.0001842011718183934,120.0,0.0004935047400649637,0.0003572531074681638,8,21,True,True,1.17.4,1.6.34,1.0.991,,0.15515360143186477,2.625,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBinVotingClassifierSoft,2.480494976043701e-05,8.007868429872401e-07,120.0,0.0001838118860032409,5.4536205978608775e-06,8,12,True,True,1.17.4,1.6.34,1.0.991,,0.1349474742890112,1.5,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBinVotingClassifierWeightedSoft,2.492984477430582e-05,9.857474251058068e-07,120.0,0.00022763921972364184,4.438322257466596e-06,8,12,True,True,1.17.4,1.6.34,1.0.991,,0.10951471721160838,1.5,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBinVotingClassifierWeightsHard,3.86731878388673e-05,2.6711968906365595e-06,120.0,0.00027620057249441737,6.305599303810051e-06,8,21,True,True,1.17.4,1.6.34,1.0.991,,0.14001849268306266,2.625,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBinarizer-SkipDim1,1.0914671700447798e-05,4.710634837683933e-07,124.0,4.064231459051371e-05,9.276342779274052e-07,1,1,True,True,1.17.4,1.6.34,1.0.991,,0.26855438255466346,1.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnCalibratedClassifierCVBinary,0.00014195144758559762,1.5353364181030038e-06,128.0,0.0004926005250308663,4.284256188106276e-06,2,46,True,True,1.17.4,1.6.34,1.0.991,,0.28816747115058994,23.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnCalibratedClassifierCVFloat,0.00022607455751858646,1.5516639548635617e-06,128.0,0.0005764295926783232,4.209937953544922e-06,2,84,True,True,1.17.4,1.6.34,1.0.991,,0.39219804185998386,42.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnCalibratedClassifierCVInt-Dec4,0.008074442818993702,0.002603209303581045,624.0,0.0008405591954942793,0.00012487738027974673,2,170,True,True,1.17.4,1.6.34,1.0.991,,9.60603710277137,85.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnCalibratedClassifierCVIsotonicBinary,0.0016435450301505625,6.5811262620774164e-06,128.0,0.0012435340038500725,1.6657410465730205e-05,2,68,True,True,1.17.4,1.6.34,1.0.991,,1.32167276894884,34.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnCalibratedClassifierCVIsotonicFloat,0.001743821223732084,6.369376177550264e-06,128.0,0.0016169420054648073,1.2854343801649334e-05,2,120,True,True,1.17.4,1.6.34,1.0.991,,1.0784686264803938,60.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnColumnTransformerDrop,0.0001341468177270144,0.00016950080295595962,512.0,0.00028722790325991807,1.4905650883538861e-05,5,6,True,True,1.17.4,1.6.34,1.0.991,,0.46703964414495747,1.2,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnColumnTransformerPassthrough,0.00018757633003406223,0.00017276034261350657,512.0,0.0004251947535667568,0.0004153354101328037,5,9,True,True,1.17.4,1.6.34,1.0.991,,0.4411539146722144,1.8,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnColumnTransformerPassthroughNoWeights,0.00013890930986963212,3.658977966802765e-06,512.0,0.0003731346039567143,1.1763530772616604e-05,5,7,True,True,1.17.4,1.6.34,1.0.991,,0.3722766754855746,1.4,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnColumnTransformerWeights,0.0002456252344418317,0.00015671382839612096,512.0,0.0002985874332953245,7.871359240126905e-06,5,8,True,True,1.17.4,1.6.34,1.0.991,,0.822624153103224,1.6,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnCountVectorizer11-OneOff-SklCol,5.0366343930363646e-05,1.0221292439266822e-06,260.0,0.00010358266113325952,1.6038858529568859e-06,1,5,True,True,1.17.4,1.6.34,1.0.991,,0.48624300031804685,5.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnCountVectorizer12-OneOff-SklCol,5.176218878477812e-05,1.2923020087354185e-06,260.0,0.00010954790678806604,1.927511011822891e-06,1,5,True,True,1.17.4,1.6.34,1.0.991,,0.47250732855095506,5.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnCountVectorizer13-OneOff-SklCol,5.1888136193156235e-05,9.50311395407753e-07,260.0,0.00011143777752295136,1.986657433724463e-06,1,5,True,True,1.17.4,1.6.34,1.0.991,,0.46562429138960104,5.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnCountVectorizer22-OneOff-SklCol,5.08364422712475e-05,1.0473483164676126e-06,260.0,0.00010740380198694764,2.037258826560922e-06,1,5,True,True,1.17.4,1.6.34,1.0.991,,0.47332069564376733,5.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnCountVectorizerBinary-OneOff-SklCol,5.300096562132239e-05,1.4327755034475428e-06,260.0,0.00010459570912644268,2.0064879606215783e-06,1,7,True,True,1.17.4,1.6.34,1.0.991,,0.5067221787965611,7.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnDecisionTreeRegressionInt,0.00014922129618935288,3.8386336913351035e-06,192.0,4.473611572757364e-05,9.475539612870056e-07,1,2,True,True,1.17.4,1.6.34,1.0.991,,3.335589014881293,2.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnDictVectorizer-OneOff-SkipDim1,1.2544697616249326e-05,6.91488051508431e-07,80.0,8.184039243496956e-05,1.2373132902869751e-06,1,1,True,True,1.17.4,1.6.34,1.0.991,,0.15328247144241583,1.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnDictVectorizerSortFalse-OneOff-SkipDim1,1.195035525597632e-05,5.127034386328209e-07,80.0,6.471053697168828e-06,3.6152347663681656e-07,1,1,True,True,1.17.4,1.6.34,1.0.991,,1.8467402397239818,1.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnDocumentationTfIdf-OneOff-SklCol,8.645206317305565e-05,7.73007752075664e-06,120.0,0.0003493145264219492,2.233450337364234e-05,2,8,True,True,1.17.4,1.6.34,1.0.991,,0.24749060412285054,4.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnDocumentationTfIdfUnion1,0.0001100654813926667,2.465289814462728e-06,256.0,0.0015815525883808733,1.2934402555931713e-05,10,20,True,True,1.17.4,1.6.34,1.0.991,,0.06959331115593638,2.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnElasticNet-Dec4,3.182509355247021e-05,2.6316102677359577e-07,152.0,4.80356018524617e-05,4.4260948074417724e-07,1,1,True,True,1.17.4,1.6.34,1.0.991,,0.6625313793344145,1.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnElasticNetCV-Dec4,3.2081002369523055e-05,8.548812339192711e-07,152.0,4.21840725466609e-05,1.1378555150448513e-06,1,1,True,True,1.17.4,1.6.34,1.0.991,,0.7605003602731203,1.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnElasticNetRegressorInt-Dec4,3.704031393863261e-05,9.418375487427375e-07,192.0,5.072450125589967e-05,8.816951797165718e-07,1,2,True,True,1.17.4,1.6.34,1.0.991,,0.7302252958933632,2.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnFeatureUnionDefault,1.973870466463268e-05,6.425242844817954e-07,128.0,0.0002598915221169591,6.653059833106362e-06,3,3,True,True,1.17.4,1.6.34,1.0.991,,0.07594978283189116,1.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnFeatureUnionTransformerWeights0,2.247399580664933e-05,7.046017399651526e-07,128.0,0.0002726284277159721,6.7857701767696215e-06,3,5,True,True,1.17.4,1.6.34,1.0.991,,0.08243452817790166,1.6666666666666667,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnFeatureUnionTransformerWeights1-Dec4,0.0004797608251683414,0.00026520860510324313,624.0,0.00030089235864579685,0.00017366667146075858,3,8,True,True,1.17.4,1.6.34,1.0.991,,1.5944599833892896,2.6666666666666665,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnFeatureUnionTransformerWeights2-Dec4,0.00030775045114569364,7.356395670219292e-05,368.0,0.0002723780833184719,0.00012150995959356961,3,4,True,True,1.17.4,1.6.34,1.0.991,,1.1298649560796836,1.3333333333333333,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnFunctionTransformer-DF,2.067322214134037e-05,7.395828570558106e-07,168.0,0.001533513146918267,2.3518755584973943e-05,5,6,True,True,1.17.4,1.6.34,1.0.991,,0.013480955271159608,1.2,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnGaussianProcessDotProductStdDouble-Out0-Dec3,3.450320544652641e-05,7.817763800299762e-07,160.0,4.3875093106180435e-05,8.562988152504286e-07,1,14,True,True,1.17.4,1.6.34,1.0.991,,0.7863961761409034,14.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
