lib,N,dim,nbnode,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c
ort,1,10,10,20,2,3.2188836485147476e-05,0.0007645571604371071,3.225775435566902e-05,3.303680568933487e-05,6.923174951225519e-05,3.2188836485147476e-05,0.0003818918960431326,20,3.244099207222462e-05,0
npy,1,10,10,20,2,7.69682228565216e-05,8.601183071732521e-05,7.732119411230087e-05,7.92178325355053e-05,7.848658133298158e-05,7.69682228565216e-05,8.316578500645384e-05,20,7.76173546910286e-05,0
ort,10,10,10,20,2,4.635285586118698e-05,6.826687604188919e-05,4.654284566640854e-05,4.742201417684555e-05,4.787873476743698e-05,4.635285586118698e-05,5.709492593692228e-05,20,4.6727946028113365e-05,0
npy,10,10,10,20,2,8.729193359613419e-05,0.00011426769196987152,8.764909580349922e-05,8.856970816850662e-05,8.973134681582451e-05,8.729193359613419e-05,0.0001013607386570747,20,8.810427971184254e-05,0
ort,100,10,10,20,2,0.00019989674910902977,0.00022480590268969536,0.00020023109391331673,0.0002025701105594635,0.00020323817152529956,0.00019989674910902977,0.00021644797581302704,20,0.00020104087889194489,0
npy,100,10,10,20,2,0.00016052508726716042,0.00018861284479498863,0.00016183080151677132,0.00016494560986757278,0.00016427813097834586,0.00016052508726716042,0.00017604440017514127,20,0.00016251299530267715,0
ort,1000,10,10,20,2,0.0016934131272137165,0.001768115907907486,0.0017186300829052925,0.0017540808767080307,0.0017302891006693243,0.0016975918924341533,0.0017629863089044953,20,0.0017285440117120743,0
npy,1000,10,10,20,2,0.0008084429427981377,0.0008554360829293728,0.0008142539300024509,0.0008224551565945148,0.0008199660805985332,0.0008084429427981377,0.0008399587340871344,20,0.0008171726949512959,0
ort,10000,10,10,20,2,0.016461156774312258,0.017199816182255745,0.01704744016751647,0.01715168682858348,0.017060338333249093,0.01676690594243102,0.017199816182255745,20,0.017091890331357718,0
npy,10000,10,10,20,2,0.0069549307227134705,0.006989421788603067,0.006959547288715839,0.006984533742070198,0.006968791550025344,0.0069549307227134705,0.006988119484599878,20,0.006966906134039164,0
ort,1,10,50,20,2,6.291689351201057e-05,0.0008036522194743156,6.339699029922485e-05,6.400980055332184e-05,0.00010075720492750407,6.291689351201057e-05,0.00041682009510852905,20,6.366241723299026e-05,0
npy,1,10,50,20,2,0.00035098521038889885,0.00037962011992931366,0.00035447487607598305,0.00035805022343993187,0.0003579151351004839,0.00035098521038889885,0.000372204731091906,20,0.0003563936334103346,0
ort,10,10,50,20,2,0.00013851886615157127,0.00018256204202771187,0.00013872375711798668,0.00014014216139912605,0.00014298977330327035,0.00013851886615157127,0.00016635552614833194,20,0.0001390436664223671,0
npy,10,10,50,20,2,0.00040778517723083496,0.00042584771290421486,0.00041152024641633034,0.00041791610419750214,0.0004143432946875691,0.00040778517723083496,0.0004219761499896727,20,0.00041392189450562,0
ort,100,10,50,20,2,0.0008976468816399574,0.0009477967396378517,0.0008989670313894749,0.0009047756902873516,0.0009034314658492804,0.0008976468816399574,0.0009238343726816347,20,0.000900674844160676,0
npy,100,10,50,20,2,0.0007634828798472881,0.0007862932980060577,0.0007707918994128704,0.0007847598753869534,0.0007769225165247917,0.0007642768968293002,0.0007862932980060577,20,0.0007763288449496031,0
ort,1000,10,50,20,2,0.008458319120109081,0.008733312133699656,0.008491237182170153,0.008542045950889587,0.008516281470656395,0.008458319120109081,0.00862328623048532,20,0.008501318981871009,0
